alumni_career_titles,alumni_info,awards,contact_email,department,dept_news_links,lab_culture,lab_website,last_updated,linkedin_profiles,mentorship_info,num_alumni,num_students,pi_name,publication_abstracts,publication_dates,publication_links,publications,research_summary,scraped_excerpts,social_media_posts,source_url,title_position
Materials Engineer; Alloy Development Scientist,"Y. Chen (PhD 2021, Toyota); D. Patel (PhD 2019, Arconic)",TMS Brimacombe Medalist (2021),ktan@ncsu.edu,MSE,https://mse.ncsu.edu/news/tan-lightweight-alloys,metallurgy-forward; careful; collaborative,http://tan-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/keiko-tan-metallurgy,Joint senior mentoring; annual grant-writing workshops; emphasis on professional development.,30,10,Dr. Keiko Tan,Aging treatments yield nanoscale precipitates with high strengthening; Li additions stabilize δ' at service temperatures.,2024; 2022,https://doi.org/10.1234/ncsu.mse.tan.2024a; https://doi.org/10.1234/ncsu.mse.tan.2022b,High-strength Mg alloys via nano-precipitates; Al-Li phase stability at elevated temps,Physical metallurgy of lightweight alloys; precipitation and phase stability in Mg and Al systems.,[Research Tab] Mg/Al precipitation and stability (Source: http://tan-mse-lab.ncsu.edu/research),https://twitter.com/tan_met/status/57654321,https://www.mse.ncsu.edu/faculty/tan,Professor
Device Engineer; Postdoctoral Researcher,"J. Rivera (MS 2022, Wolfspeed); K. Ahmed (PhD 2021, Postdoc NREL)",Royal Society Wolfson (2020),loconnell@ncsu.edu,MSE,https://mse.ncsu.edu/news/oconnell-thermoelectrics,physics-aware; collaborative; data-driven,http://oconnell-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/liam-oconnell-thermo,Weekly design sprints; high-engagement group meetings; inclusive authorship practices.,9,7,Dr. Liam O'Connell,High carrier mobility with strong phonon drag improves S; GB engineering reduces lattice thermal conductivity.,2024; 2021,https://doi.org/10.1234/ncsu.mse.oconnell.2024a; https://doi.org/10.1234/ncsu.mse.oconnell.2021b,Phonon drag in oxide thermoelectrics; Grain-boundary engineering for low κ,Thermoelectric materials and phonon engineering; grain-boundary phonon scattering in complex oxides.,[Research Tab] Thermoelectrics; phonon engineering (Source: http://oconnell-mse-lab.ncsu.edu/research),https://twitter.com/oconnell_thermo/status/56543210,https://www.mse.ncsu.edu/faculty/oconnell,Associate Professor
Biomedical Engineer; Graduate Student,"E. Brown (MS 2024, Abbott); R. Lin (BS 2023, PhD student at UCSD)",ACS PMSE Young Investigator (2024),msethi@ncsu.edu,MSE,https://mse.ncsu.edu/news/sethi-bioelectronics,supportive; interdisciplinary; wet-lab + device,http://sethi-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/mira-sethi-bioelectronics,Paired coding/wet-lab buddies; monthly skills workshops; reproducible protocols.,3,6,Dr. Mira Sethi,Anion-coupled transport enhances volumetric capacitance; Surface treatments lower interface impedance in saline.,2025; 2023,https://doi.org/10.1234/ncsu.mse.sethi.2025a; https://doi.org/10.1234/ncsu.mse.sethi.2023b,Ionic gating in PEDOT derivatives; Bioelectronic interfaces with low impedance,Conjugated polymers for bioelectronics; mixed ionic-electronic conduction in hydrated environments.,[Research Tab] Conjugated polymers; bioelectronics (Source: http://sethi-mse-lab.ncsu.edu/research),https://twitter.com/sethi_bioel/status/55432109,https://www.mse.ncsu.edu/faculty/sethi,Assistant Professor
Glass Scientist; Materials Engineer,"P. Chen (PhD 2020, Corning); T. White (PhD 2018, Schott)",MSE Distinguished Teaching Award (2022),nalvarez@ncsu.edu,MSE,https://mse.ncsu.edu/news/alvarez-glass-ceramics,careful; safety-minded; industry collaborations,http://alvarez-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/noah-alvarez-glass,Mentoring circles; quarterly teaching demos; open pedagogy resources.,26,9,Dr. Noah Alvarez,Depth-resolved compressive stress profiles predict failure; Nucleation agents tailor microcrystal distributions.,2023; 2021,https://doi.org/10.1234/ncsu.mse.alvarez.2023a; https://doi.org/10.1234/ncsu.mse.alvarez.2021b,Strain profiles in ion-exchanged aluminosilicates; Controlled crystallization in glass-ceramics,Glass science and ultra-strong glass-ceramics; ion-exchange strengthening and nucleation kinetics.,[Research Tab] Ion exchange & glass-ceramics (Source: http://alvarez-mse-lab.ncsu.edu/research),https://twitter.com/alvarez_glass/status/54321098,https://www.mse.ncsu.edu/faculty/alvarez,Professor
Device Reliability Engineer; Process Engineer,"S. Desai (PhD 2022, Wolfspeed); A. Kumar (MS 2021, Intel)",NSF CAREER Award (2019); AVS Peter Mark Award (2022),pkulkarni@ncsu.edu,MSE,https://mse.ncsu.edu/news/kulkarni-uwbg,device-oriented; collaborative; high-throughput characterization,http://kulkarni-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/priya-kulkarni-thinfilms,Weekly data deep-dives; open lab wiki; proposal-writing bootcamps.,15,8,Dr. Priya Kulkarni,Halide treatments suppress deep traps; Diamond heat spreaders improve device reliability.,2025; 2022,https://doi.org/10.1234/ncsu.mse.kulkarni.2025a; https://doi.org/10.1234/ncsu.mse.kulkarni.2022b,Defect passivation in ultrawide-bandgap films; Thermal stability of GaN-on-diamond,Thin-film semiconductors for power electronics; defect engineering in wide-bandgap materials.,[Research Tab] Thin films; UWBG; defects (Source: http://kulkarni-mse-lab.ncsu.edu/research),https://twitter.com/kulkarni_UWBG/status/53210987,https://www.mse.ncsu.edu/faculty/kulkarni,Associate Professor
AI Research Engineer; Graduate Student,"M. Ortiz (MS 2024, NVIDIA); M. Chen (BS 2023, M.S. student at CMU)",AFOSR YIP (2023),qzhou@ncsu.edu,MSE,https://mse.ncsu.edu/news/zhou-gnn-design,computational; code-centric; open-source,http://zhou-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/qiang-zhou-matsci-ml,Pair programming; rigorous unit tests; transparent authorship criteria.,2,5,Dr. Qiang Zhou,Graph representations capture local chemistry around defects; Bayesian loops discover heat-resistant HEAs.,2025; 2024,https://doi.org/10.1234/ncsu.mse.zhou.2025a; https://doi.org/10.1234/ncsu.mse.zhou.2024b,GNNs for defect energetics; Inverse design of HEAs with bayesian optimization,Computational materials design with graph neural networks; inverse design for catalysts and alloys.,[Research Tab] GNNs; inverse design (Source: http://zhou-mse-lab.ncsu.edu/research),https://twitter.com/zhou_matml/status/52109876,https://www.mse.ncsu.edu/faculty/zhou,Assistant Professor
Staff Scientist; Materials Engineer,"T. Kim (PhD 2021, ORNL); J. Park (PhD 2019, Westinghouse)",ASM Albert Sauveur Achievement (2022),rdesai@ncsu.edu,MSE,https://mse.ncsu.edu/news/desai-nuclear-materials,safety-first; modeling + experiment; national-lab ties,http://desai-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/rohan-desai-nuclear,Milestone-based advising; lab safety audits; joint projects with national labs.,33,11,Dr. Rohan Desai,Kinetic Monte Carlo captures long-term defect clustering; He promotes void formation and hardness increase.,2023; 2021,https://doi.org/10.1234/ncsu.mse.desai.2023a; https://doi.org/10.1234/ncsu.mse.desai.2021b,Cascade damage in Fe-Cr alloys; Helium bubble nucleation under irradiation,Irradiation effects in nuclear structural materials; defect evolution and embrittlement.,[Research Tab] Nuclear materials & irradiation (Source: http://desai-mse-lab.ncsu.edu/research),https://twitter.com/desai_nuclear/status/51098765,https://www.mse.ncsu.edu/faculty/desai,Professor
Scientist I; R&D Engineer,"K. Shah (PhD 2023, Genentech); A. Rivera (MS 2022, BD)",NIH R01 (2023),swhitman@ncsu.edu,MSE,https://mse.ncsu.edu/news/whitman-biomaterials-r01,interdisciplinary; bio-safety focused; team-first,http://whitman-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/sara-whitman-biomaterials,Clear authorship policies; cross-training in biology and materials; shared data repository.,12,9,Dr. Sara Whitman,Cytokine presentation steers macrophage phenotypes; Controlled porosity tunes differentiation pathways.,2024; 2022,https://doi.org/10.1234/ncsu.mse.whitman.2024a; https://doi.org/10.1234/ncsu.mse.whitman.2022b,Macrophage-modulating scaffolds; Hydrogel porosity and stem-cell fate,Biomaterials for regenerative medicine; immuno-informed design of polymer scaffolds.,[Research Tab] Immuno-informed biomaterials (Source: http://whitman-mse-lab.ncsu.edu/research),https://twitter.com/whitman_biomats/status/50987654,https://www.mse.ncsu.edu/faculty/whitman,Associate Professor
Process Chemist; Graduate Student,"C. Jones (MS 2024, Eastman); Y. Liu (BS 2023, PhD student at NCSU)",MRS Innovation in Materials Award (2024),tibarra@ncsu.edu,MSE,https://mse.ncsu.edu/news/ibarra-sustainable-polymers,sustainability-focused; maker-space friendly; collaborative,http://ibarra-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/tomas-ibarra-polymers,Weekly design reviews; demo days each semester; structured feedback cycles.,3,5,Dr. Tomas Ibarra,Dynamic covalent bonds enable reprocessing; Solvent-free routes reduce emissions without sacrificing MW.,2025; 2023,https://doi.org/10.1234/ncsu.mse.ibarra.2025a; https://doi.org/10.1234/ncsu.mse.ibarra.2023b,Vitrimers with closed-loop recycling; Bulk polymerization without solvent,Sustainable polymers and green processing; recyclable thermosets and solvent-free synthesis.,[Research Tab] Recyclable thermosets; solvent-free synthesis (Source: http://ibarra-mse-lab.ncsu.edu/research),https://twitter.com/ibarra_greenpolymers/status/49876543,https://www.mse.ncsu.edu/faculty/ibarra,Assistant Professor
Process Engineer; Senior Engineer,"R. Gupta (PhD 2021, Lam Research); F. Zhao (PhD 2018, Applied Materials)",AVS Fellow (2018),yclarke@ncsu.edu,MSE,https://mse.ncsu.edu/news/clarke-plasma-surface,process-focused; safety; industry-coupled,http://clarke-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/yvonne-clarke-plasma,Apprenticeship-style device runs; lab certification tiers; annual career planning.,25,10,Dr. Yvonne Clarke,Downstream radicals preserve mobility in TMDs; Functional groups improve contact resistance in OFETs.,2024; 2022,https://doi.org/10.1234/ncsu.mse.clarke.2024a; https://doi.org/10.1234/ncsu.mse.clarke.2022b,Gentle plasma for 2D semiconductors; Surface functionalization for OFETs,Plasma processing and surface modification; low-damage etch for 2D and organic electronics.,[Research Tab] Plasma processing; low-damage etch (Source: http://clarke-mse-lab.ncsu.edu/research),https://twitter.com/clarke_plasma/status/48765432,https://www.mse.ncsu.edu/faculty/clarke,Professor
Quantum Engineer; Systems Engineer,"S. Patel (PhD 2022, IBM); H. Zhou (MS 2021, ASML)",Sloan Research Fellowship (2020),abrooks@ncsu.edu,MSE,https://mse.ncsu.edu/news/brooks-quantum-defects,physics-aware; device-building; collaborative,http://brooks-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/aiden-brooks-quantum,Pair mentors; quarterly roadmaps; transparent paper pipeline.,8,7,Dr. Aiden Brooks,Ion implantation plus annealing creates stable emitters; Strain fields tune optical transitions for sensing.,2025; 2023,https://doi.org/10.1234/ncsu.mse.brooks.2025a; https://doi.org/10.1234/ncsu.mse.brooks.2023b,Color-center engineering in SiC; Strain tuning of NV centers,Quantum defects in wide-bandgap materials for sensing; NV and color centers in engineered hosts.,[Research Tab] Defects in WBG for sensing (Source: http://brooks-mse-lab.ncsu.edu/research),https://twitter.com/brooks_quantum/status/47654321,https://www.mse.ncsu.edu/faculty/brooks,Associate Professor
Process Engineer; Graduate Student,"N. Gill (MS 2024, WSP); R. Soto (BS 2023, PhD student at UT Austin)",NSF CAREER Award (2024),cduarte@ncsu.edu,MSE,https://mse.ncsu.edu/news/duarte-membranes-career,application-driven; collaborative with CCEE; careful experimentation,http://duarte-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/camila-duarte-membranes,Skill matrices; rotation projects; monthly writing retreats.,2,5,Dr. Camila Duarte,Block architectures create selective pathways; Zwitterionic brushes reduce biofouling under flow.,2024; 2022,https://doi.org/10.1234/ncsu.mse.duarte.2024a; https://doi.org/10.1234/ncsu.mse.duarte.2022b,Nanostructured membranes for selective ion transport; Fouling-resistant zwitterionic surfaces,Polymer membranes for water-energy nexus; antifouling strategies and ion selectivity.,[Research Tab] Membranes; antifouling; ion selectivity (Source: http://duarte-mse-lab.ncsu.edu/research),https://twitter.com/duarte_membranes/status/46543210,https://www.mse.ncsu.edu/faculty/duarte,Assistant Professor
Structural Analyst; Materials Specialist,"V. Kumar (PhD 2021, Airbus); M. Rossi (PhD 2018, Rolls-Royce)",Acta Materialia Gold Medal (2019),efarouk@ncsu.edu,MSE,https://mse.ncsu.edu/news/farouk-structural-lifing,modeling + mechanics; rigorous; mentorship by committee,http://farouk-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/elias-farouk-mechanics,High standards with strong support; international collaborations; sabbatical exchanges.,29,8,Dr. Elias Farouk,Crystal-plasticity links grains to lifetime; Grain boundary diffusion drives cavity growth at high T.,2023; 2020,https://doi.org/10.1234/ncsu.mse.farouk.2023a; https://doi.org/10.1234/ncsu.mse.farouk.2020b,Microstructure-based fatigue life models; Creep cavitation in nickel superalloys,Creep and fatigue in structural materials; microstructure-sensitive modeling and life prediction.,[Research Tab] Fatigue & creep modeling (Source: http://farouk-mse-lab.ncsu.edu/research),https://twitter.com/farouk_mech/status/45432109,https://www.mse.ncsu.edu/faculty/farouk,Professor
Catalysis Scientist; Process Engineer,"A. Cho (PhD 2022, Shell); Z. Wang (MS 2021, Dow)",DOD MURI Co-PI (2022),hyoon@ncsu.edu,MSE,https://mse.ncsu.edu/news/yoon-single-atom-catalysts,catalysis-focused; beamline-collaborative; supportive,http://yoon-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/hana-yoon-catalysis,Weekly paper discussions; reproducibility badges; structured onboarding.,11,7,Dr. Hana Yoon,Oxygen vacancies anchor Pt atoms; XAS tracks oxidation-state cycling under CO2RR.,2025; 2023,https://doi.org/10.1234/ncsu.mse.yoon.2025a; https://doi.org/10.1234/ncsu.mse.yoon.2023b,Stabilizing single-atom Pt on ceria; Operando XAS of CO2 reduction catalysts,Nanomaterials for catalysis and energy; single-atom catalysts and support effects.,[Research Tab] Single-atom catalysts; operando XAS (Source: http://yoon-mse-lab.ncsu.edu/research),https://twitter.com/yoon_catalysis/status/44321098,https://www.mse.ncsu.edu/faculty/yoon,Associate Professor
Battery Engineer,"T. Nguyen (MS 2024, Enovix)",NSF CAREER Award (2025),igrant@ncsu.edu,MSE,https://mse.ncsu.edu/news/grant-solid-state-batteries,battery-focused; careful; cross-disciplinary,http://grant-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/isaiah-grant-batteries,Design docs before experiments; data audits; reproducible analysis pipelines.,1,6,Dr. Isaiah Grant,Anion-trapping boosts transference number; Interlayers reduce interfacial resistance and dendrites.,2025; 2024,https://doi.org/10.1234/ncsu.mse.grant.2025a; https://doi.org/10.1234/ncsu.mse.grant.2024b,Polymer electrolytes with high Li transference; Interface engineering in solid-state cells,Electrochemical energy storage; solid-state batteries and ion-conducting polymers.,[Research Tab] Solid-state electrolytes; interfaces (Source: http://grant-mse-lab.ncsu.edu/research),https://twitter.com/grant_battery/status/43210987,https://www.mse.ncsu.edu/faculty/grant,Assistant Professor
Simulation Scientist; AI Engineer,"M. Green (PhD 2021, Ansys); M. Ahmed (PhD 2019, NVIDIA)",Gordon Bell Prize Co-author (2021),nrao@ncsu.edu,MSE,https://mse.ncsu.edu/news/nrao-multiscale-thermal,computational; mentorship by pairing; transparent data,http://rao-thermal-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/nisha-rao-thermal,Computational literacy for all lab members; weekly code reviews; FAIR data.,18,9,Dr. Nisha Rao,Interfacial conductance controls κ in nanocomposites; Homogenization preserves anisotropy in FE models.,2024; 2022,https://doi.org/10.1234/ncsu.mse.nrao.2024a; https://doi.org/10.1234/ncsu.mse.nrao.2022b,Phonon transport across polymer-filler interfaces; Upscaling MD to FE for composites,Multiscale modeling of thermal transport; atomistic-to-continuum bridges for composites.,[Research Tab] Multiscale heat transport (Source: http://rao-thermal-mse-lab.ncsu.edu/research),https://twitter.com/rao_thermal/status/42109876,https://www.mse.ncsu.edu/faculty/nrao,Professor
Staff Scientist; Materials & Process Engineer,"J. Lopez (PhD 2022, Los Alamos); P. Singh (PhD 2020, Boeing)",ONR Young Investigator (2021),ohaddad@ncsu.edu,MSE,https://mse.ncsu.edu/news/haddad-in-situ-tomography,instrument-forward; safety; collaborative beamtime,http://haddad-mse-lab.ncsu.edu,2025-09-05,https://linkedin.com/in/omar-haddad-in-situ,Daily stand-ups for instrument time; safety culture; cross-training across tools.,16,8,Dr. Omar Haddad,Time-resolved tomography captures pore evolution; In situ diffraction reveals phase partitioning.,2025; 2023,https://doi.org/10.1234/ncsu.mse.haddad.2025a; https://doi.org/10.1234/ncsu.mse.haddad.2023b,4D-CT of additively manufactured steels; Phase evolution in HEAs under load,In situ diffraction and tomography under extreme environments; phase maps for advanced alloys.,[Research Tab] In situ diffraction; tomography (Source: http://haddad-mse-lab.ncsu.edu/research),https://twitter.com/haddad_insitu/status/41098765,https://www.mse.ncsu.edu/faculty/haddad,Associate Professor
R&D Engineer; Research Scientist,"A. Patel (MS 2023, Qualcomm); J. Lin (PhD 2022, Nvidia)",NSF CAREER (2020); IEEE Senior Member (2023),msrinivasan@ncsu.edu,ECE,https://ece.ncsu.edu/news/srinivasan-energy-efficient-ml-award-2024,collaborative; computation-heavy; open-source-first,https://srinivasanlab.ncsu.edu,2025-09-05,https://linkedin.com/in/mayasrinivasan,Weekly one-on-one meetings; project charters; collaborative paper sprints.,14,11,Dr. Maya Srinivasan,P1: Presents a dataflow accelerator for sparse CNNs with dynamic gating.; P2: Introduces an 8-bit attention engine enabling sub-100 mW inference.; P3: Co-design approach reduces memory traffic by 42%.,2025; 2024; 2023,https://doi.org/10.0000/ece.srinivasan.2025a; https://doi.org/10.0000/ece.srinivasan.2024b; https://doi.org/10.0000/ece.srinivasan.2023c,SparseFlow: Energy-Proportional ML Inference on Edge SoCs; Quantized Attention Engines for Tiny Transformers; Compiler–Hardware Co-Design for Sparse CNNs,Designs hardware accelerators for on-device machine learning with emphasis on sparse tensor cores and energy-efficient inference at the edge.,[Research Tab] Accelerators for sparse ML workloads and compiler–hardware co-design. (Source: https://srinivasanlab.ncsu.edu/research); [People] 11 students listed. (Source: https://srinivasanlab.ncsu.edu/people),https://twitter.com/SrinivasanLab/status/17010001,https://www.ece.ncsu.edu/people/srinivasan,Associate Professor
Analog Design Engineer; Embedded Systems Engineer,"L. Zhou (MS 2024, Analog Devices); P. Gomez (BS 2023, NXP)",DARPA Young Faculty Award (2023),tkim@ncsu.edu,ECE,https://ece.ncsu.edu/news/kim-darpa-yfa-2023,experimental; interdisciplinary,https://kim-neurocomp.ncsu.edu,2025-09-05,https://linkedin.com/in/trevorkim,Biweekly code reviews; paired mentoring with senior PhD students.,5,7,Dr. Trevor Kim,P1: Proposes calibration loops to mitigate analog drift.; P2: Framework for task-incremental learning on analog arrays.; P3: Models device noise during training to improve accuracy.,2025; 2024; 2023,https://doi.org/10.0000/ece.kim.2025a; https://doi.org/10.0000/ece.kim.2024b; https://doi.org/10.0000/ece.kim.2023c,MemX: Drift-Resilient Memristive Learning; Continual Learning with Analog Crossbars; Noise-Aware Training for Neuromorphic Systems,Neuromorphic computing architectures leveraging memristive crossbars for continual learning and robustness to device drift.,[Research Tab] Memristive crossbars; continual learning; robustness. (Source: https://kim-neurocomp.ncsu.edu/research); [Publications] 9 papers listed. (Source: https://kim-neurocomp.ncsu.edu/publications),https://twitter.com/KimNeuroLab/status/17020002,https://www.ece.ncsu.edu/people/kim,Assistant Professor
Wireless Systems Engineer; Senior Researcher,"K. Ahmed (PhD 2021, Ericsson); S. Park (PhD 2019, Samsung Research)",IEEE Fellow (2021); ONR Young Investigator (2015),lortiz@ncsu.edu,ECE,https://ece.ncsu.edu/news/ortiz-elected-ieee-fellow,large lab; diverse; industry-collaborative,https://ortiz-wireless.ncsu.edu,2025-09-05,https://linkedin.com/in/lilianaortiz,Quarterly individual development plans; rotating paper clubs.,28,14,Dr. Liliana Ortiz,P1: Models RIS for urban THz backhaul.; P2: Proposes MAC that co-schedules sensing bursts.; P3: Joint optimization of radar and data beams.,2025; 2024; 2023,https://doi.org/10.0000/ece.ortiz.2025a; https://doi.org/10.0000/ece.ortiz.2024b; https://doi.org/10.0000/ece.ortiz.2023c,RIS-Assisted THz Backhaul for Dense Networks; Sensing-Aware MAC for 6G; Joint Beamforming for Comms and Radar,"6G wireless systems focusing on THz links, reconfigurable intelligent surfaces, and joint communication-sensing networks.","[Research Tab] THz, RIS, joint comm-sensing for 6G. (Source: https://ortiz-wireless.ncsu.edu/research); [People] 14 PhD/MS students. (Source: https://ortiz-wireless.ncsu.edu/people)",https://twitter.com/OrtizWireless/status/17030003,https://www.ece.ncsu.edu/people/ortiz,Professor
Analog IC Designer; Systems Engineer,"M. Nguyen (PhD 2020, Medtronic); R. Chen (MS 2019, Texas Instruments)",AFOSR Young Investigator (2016),roconnell@ncsu.edu,ECE,https://ece.ncsu.edu/news/oconnell-biomedical-asic-spotlight,experimental; application-driven; health-tech,https://oconnell-ams.ncsu.edu,2025-09-05,https://linkedin.com/in/richardoconnell,Weekly subgroup stand-ups; annual mentorship feedback surveys.,21,10,Dr. Richard O'Connell,P1: Presents chopper-stabilized ECG front-end.; P2: Buck-boost PMIC with MPPT.; P3: ASIC with artifact suppression for neural data.,2025; 2024; 2022,https://doi.org/10.0000/ece.oconnell.2025a; https://doi.org/10.0000/ece.oconnell.2024b; https://doi.org/10.0000/ece.oconnell.2022c,Sub-µW ECG Front-Ends with Digital Calibration; Energy Harvesting PMIC for Implants; Artifact-Resilient Neural Recording ASIC,Ultra-low-power mixed-signal VLSI for biomedical sensing and implantable devices with integrated power management.,[Research Tab] Biomedical analog/mixed-signal circuits; PMICs. (Source: https://oconnell-ams.ncsu.edu/research); [Publications] Selected ISSCC/JSSC papers. (Source: https://oconnell-ams.ncsu.edu/publications),https://twitter.com/OConnellAMS/status/17040004,https://www.ece.ncsu.edu/people/oconnell,Professor
Hardware Security Engineer; Senior Design Engineer,"E. Davis (MS 2023, NXP); K. Shah (PhD 2021, Intel)",NSF CAREER (2019); IBM Faculty Award (2022),fhaddad@ncsu.edu,ECE,https://ece.ncsu.edu/news/haddad-hw-security-partnership,security-first; rigorous; collaborative,https://haddad-securehw.ncsu.edu,2025-09-05,https://linkedin.com/in/farahhaddad,Structured onboarding; shared lab notebooks; inclusive mentoring practices.,12,9,Dr. Farah Haddad,P1: Evaluates scalable software masking.; P2: Combines redundancy and coding for AES.; P3: Low-power PUF design for identification.,2025; 2024; 2023,https://doi.org/10.0000/ece.haddad.2025a; https://doi.org/10.0000/ece.haddad.2024b; https://doi.org/10.0000/ece.haddad.2023c,Masking for Microcontrollers at Scale; Fault Injection-Resilient AES; Lightweight PUFs for Edge Security,Secure hardware design against side-channel and fault attacks with lightweight countermeasures for IoT platforms.,"[Research Tab] Side-channel, fault injection, PUFs. (Source: https://haddad-securehw.ncsu.edu/research); [People] Graduate and undergrad researchers. (Source: https://haddad-securehw.ncsu.edu/people)",https://twitter.com/SecureHW_NCSU/status/17050005,https://www.ece.ncsu.edu/people/haddad,Associate Professor
Photonics Engineer; Hardware Engineer,"S. Moore (MS 2024, Intel Photonics); D. Patel (BS 2023, Cisco)",ONR Young Investigator (2024),lbianchi@ncsu.edu,ECE,https://ece.ncsu.edu/news/bianchi-onr-yip-2024,experimental; device-focused; safety-first,https://bianchi-photonics.ncsu.edu,2025-09-05,https://linkedin.com/in/lucabianchi,Hands-on lab rotations; open-door policy.,4,6,Dr. Luca Bianchi,P1: Demonstrates bonded III-V/Si lasers.; P2: Process achieving 0.5 dB/cm loss.; P3: Compact heaters for 64-channel WDM.,2025; 2024; 2023,https://doi.org/10.0000/ece.bianchi.2025a; https://doi.org/10.0000/ece.bianchi.2024b; https://doi.org/10.0000/ece.bianchi.2023c,Heterogeneous III-V/Si Lasers; Low-Loss Waveguides for 800 nm Links; Thermal Tuning for Dense WDM,Silicon photonics for optical interconnects and on-chip lasers with focus on heterogeneous integration.,"[Research Tab] Heterogeneous lasers, low-loss waveguides, WDM. (Source: https://bianchi-photonics.ncsu.edu/research)",https://twitter.com/BianchiPhotonics/status/17060006,https://www.ece.ncsu.edu/people/bianchi,Assistant Professor
SoC Architect; Security Engineer,"T. Singh (PhD 2020, Apple); C. Wang (PhD 2018, Google)",IEEE Fellow (2019),pnarayanan@ncsu.edu,ECE,https://ece.ncsu.edu/news/narayanan-ieee-fellow-profile,systems-first; rigorous; collaborative,https://narayanan-arch.ncsu.edu,2025-09-05,https://linkedin.com/in/priyanarayanan,Apprenticeship model; cross-lab collaboration; student-led proposal writing.,26,12,Dr. Priya Narayanan,P1: Security primitives for open-source SoCs.; P2: ECC and scrubbing for emerging memories.; P3: Unified verification harness.,2025; 2024; 2023,https://doi.org/10.0000/ece.narayanan.2025a; https://doi.org/10.0000/ece.narayanan.2024b; https://doi.org/10.0000/ece.narayanan.2023c,SoCShield: End-to-End RISC-V Security; Resilient Caches under Soft Errors; HW/SW Co-Verification Framework,Computer architecture for secure and reliable RISC‑V systems with hardware–software co-verification.,[Research Tab] RISC‑V security and reliability; verification. (Source: https://narayanan-arch.ncsu.edu/research),https://twitter.com/NarayananArch/status/17070007,https://www.ece.ncsu.edu/people/narayanan,Professor
Power Electronics Engineer; Research Engineer,"R. Lee (MS 2022, Tesla); P. Hernandez (PhD 2021, GE Research)",NSF CAREER (2021),orahman@ncsu.edu,ECE,https://ece.ncsu.edu/news/rahman-wbg-converters-feature,hardware‑centric; safety‑focused; industry‑aligned,https://rahman-power.ncsu.edu,2025-09-05,https://linkedin.com/in/omarrayrahman,Weekly design reviews; semester goals with checkpoints.,18,9,Dr. Omar Rahman,P1: Totem‑pole PFC at 3 kW.; P2: High‑density converter for EV.; P3: Nonlinear control improves transient response.,2025; 2024; 2023,https://doi.org/10.0000/ece.rahman.2025a; https://doi.org/10.0000/ece.rahman.2024b; https://doi.org/10.0000/ece.rahman.2023c,99% Efficient GaN Totem-Pole PFC; SiC DC-DC for 800V EV; Fast Transient Control for VRMs,Power electronics with wide‑bandgap devices (GaN/SiC) for high‑density converters in EV and data-center applications.,"[Research Tab] GaN/SiC converters, PFC, VRMs. (Source: https://rahman-power.ncsu.edu/research)",https://twitter.com/RahmanPowerLab/status/17080008,https://www.ece.ncsu.edu/people/rahman,Associate Professor
Research Engineer; Software Engineer,"I. Novak (MS 2024, Meta); G. Silva (BS 2023, Microsoft)",AFOSR Young Investigator (2024),ytanaka@ncsu.edu,ECE,https://ece.ncsu.edu/news/tanaka-event-vision-grant,vision-first; fast iteration; collaborative,https://tanaka-vision.ncsu.edu,2025-09-05,https://linkedin.com/in/yukitanaka,Open lab hours; reproducible research templates.,6,8,Dr. Yuki Tanaka,P1: End‑to‑end model for event cameras.; P2: Analog edge detection on sensor.; P3: HDR pipeline combining frames and events.,2025; 2024; 2023,https://doi.org/10.0000/ece.tanaka.2025a; https://doi.org/10.0000/ece.tanaka.2024b; https://doi.org/10.0000/ece.tanaka.2023c,EventNet++: Low-Latency Vision; On-Sensor Edge Detection; HDR Imaging with Event Cameras,Computational imaging and event‑based vision with on‑sensor processing for high‑speed perception.,"[Research Tab] Event‑based vision, on‑sensor processing. (Source: https://tanaka-vision.ncsu.edu/research)",https://twitter.com/TanakaVision/status/17090009,https://www.ece.ncsu.edu/people/tanaka,Assistant Professor
